set_nm,centroid_nm,shift_nm,peak_argmax_nm,fwhm_nm,peak_intensity,settle_ms,temperature_c
420.000,420.045,+0.045,420.226,3.229,760.1,25.20,30.81
425.000,425.046,+0.046,424.886,3.940,2079.9,23.71,30.81
430.000,430.046,+0.046,429.896,3.933,5267.4,24.39,30.81
435.000,435.010,+0.010,434.899,3.927,12103.9,24.06,30.81
440.000,439.901,-0.099,439.893,4.277,23563.8,24.40,30.80
445.000,444.734,-0.266,444.879,3.914,40712.8,23.47,30.80
450.000,449.522,-0.478,449.501,4.263,53762.0,24.06,30.80
455.000,454.421,-0.579,454.116,4.256,49234.9,24.07,30.80
460.000,459.571,-0.429,459.786,4.603,40359.6,24.17,30.80
465.000,464.735,-0.265,464.739,4.948,35691.9,24.37,30.80
470.000,469.674,-0.326,470.036,4.940,34138.0,24.11,30.80
475.000,474.626,-0.374,474.619,4.931,33251.3,24.10,30.80
480.000,479.866,-0.134,479.546,4.923,40049.6,24.25,30.80
485.000,484.816,-0.184,484.816,4.914,47772.2,24.16,30.80
490.000,489.866,-0.134,489.725,5.255,50907.9,23.48,30.80
495.000,494.767,-0.233,494.627,5.247,55856.7,23.94,30.79
500.000,499.507,-0.493,499.170,5.587,51824.6,23.98,30.79
505.000,504.781,-0.219,504.753,5.576,55171.6,23.50,30.79
510.000,509.588,-0.412,509.280,6.262,56478.6,22.15,30.79
515.000,514.838,-0.162,514.842,6.250,56845.3,23.96,30.79
520.000,519.493,-0.507,519.353,5.893,60483.7,24.31,30.79
525.000,524.394,-0.606,524.202,6.575,51579.5,22.72,30.79
530.000,529.543,-0.457,529.389,6.563,50640.7,23.30,30.79
535.000,534.314,-0.686,533.876,6.551,43773.3,24.35,30.79
540.000,539.516,-0.484,539.388,6.538,38662.6,23.71,30.79
545.000,544.326,-0.674,544.202,6.527,34405.1,24.11,30.79
550.000,549.181,-0.819,549.350,7.201,26568.7,24.09,30.79
555.000,554.433,-0.567,554.488,7.529,21312.7,23.33,30.79
560.000,559.217,-0.783,558.933,7.515,18134.7,10.33,30.79
565.000,563.975,-1.025,563.712,7.502,14328.9,23.56,30.79
570.000,568.934,-1.066,568.822,7.828,10097.9,22.64,30.79
575.000,573.785,-1.215,574.262,7.813,7191.9,23.91,30.79
580.000,578.669,-1.331,577.995,8.137,5446.6,24.15,30.78
585.000,583.555,-1.445,583.415,8.460,3568.6,24.62,30.78
590.000,589.168,-0.832,588.824,9.455,2491.1,24.17,30.79
595.000,594.746,-0.254,594.896,9.771,2228.4,24.63,30.79
600.000,600.468,+0.468,600.280,10.420,2223.3,23.85,30.78
605.000,605.659,+0.659,605.318,10.064,2397.5,24.21,30.79
610.000,610.884,+0.884,611.015,9.707,2895.9,24.32,30.79
615.000,615.874,+0.874,615.696,9.688,3826.7,24.32,30.79
620.000,620.538,+0.538,620.369,9.670,4762.8,8.06,30.78
625.000,625.407,+0.407,625.033,9.983,5853.1,23.79,30.78
630.000,630.545,+0.545,631.016,10.294,7274.0,24.13,30.78
635.000,635.474,+0.474,635.328,10.273,9384.0,24.05,30.78
640.000,640.295,+0.295,640.294,9.922,11622.7,23.61,30.78
645.000,644.901,-0.099,644.259,10.562,12553.2,23.71,30.78
650.000,649.982,-0.018,650.195,10.869,13588.9,23.60,30.78
655.000,655.056,+0.056,654.801,11.174,14275.3,23.82,30.78
660.000,659.872,-0.128,659.398,10.823,16075.1,24.07,30.78
665.000,664.749,-0.251,664.313,11.454,19026.7,23.79,30.78
670.000,669.517,-0.483,669.218,11.758,18938.8,23.52,30.78
675.000,674.745,-0.255,674.438,12.382,18437.5,23.65,30.78
680.000,679.773,-0.227,679.647,12.030,18815.1,23.17,30.78
685.000,684.627,-0.373,684.195,12.653,18140.4,23.62,30.78
690.000,689.322,-0.678,689.057,12.950,17610.4,23.09,30.78
695.000,694.347,-0.653,694.555,13.891,15892.1,23.53,30.78
700.000,699.636,-0.364,699.072,14.823,15262.6,22.75,30.78
705.000,704.610,-0.390,704.224,14.469,14713.5,23.44,30.78
710.000,709.293,-0.707,708.722,14.759,13913.8,23.00,30.78
715.000,713.897,-1.103,713.530,15.687,12255.9,24.13,30.78
720.000,718.705,-1.295,718.328,16.930,10591.2,23.74,30.78
