set_nm,measured_centroid_nm,offset_nm,corrected_command_nm,fwhm_nm
420.000,420.045,+0.045,419.955,3.229
425.000,425.046,+0.046,424.954,3.940
430.000,430.046,+0.046,429.954,3.933
435.000,435.010,+0.010,434.990,3.927
440.000,439.901,-0.099,440.099,4.277
445.000,444.734,-0.266,445.266,3.914
450.000,449.522,-0.478,450.478,4.263
455.000,454.421,-0.579,455.579,4.256
460.000,459.571,-0.429,460.429,4.603
465.000,464.735,-0.265,465.265,4.948
470.000,469.674,-0.326,470.326,4.940
475.000,474.626,-0.374,475.374,4.931
480.000,479.866,-0.134,480.134,4.923
485.000,484.816,-0.184,485.184,4.914
490.000,489.866,-0.134,490.134,5.255
495.000,494.767,-0.233,495.233,5.247
500.000,499.507,-0.493,500.493,5.587
505.000,504.781,-0.219,505.219,5.576
510.000,509.588,-0.412,510.412,6.262
515.000,514.838,-0.162,515.162,6.250
520.000,519.493,-0.507,520.507,5.893
525.000,524.394,-0.606,525.606,6.575
530.000,529.543,-0.457,530.457,6.563
535.000,534.314,-0.686,535.686,6.551
540.000,539.516,-0.484,540.484,6.538
545.000,544.326,-0.674,545.674,6.527
550.000,549.181,-0.819,550.819,7.201
555.000,554.433,-0.567,555.567,7.529
560.000,559.217,-0.783,560.783,7.515
565.000,563.975,-1.025,566.025,7.502
570.000,568.934,-1.066,571.066,7.828
575.000,573.785,-1.215,576.215,7.813
580.000,578.669,-1.331,581.331,8.137
585.000,583.555,-1.445,586.445,8.460
590.000,589.168,-0.832,590.832,9.455
595.000,594.746,-0.254,595.254,9.771
600.000,600.468,+0.468,599.532,10.420
605.000,605.659,+0.659,604.341,10.064
610.000,610.884,+0.884,609.116,9.707
615.000,615.874,+0.874,614.126,9.688
620.000,620.538,+0.538,619.462,9.670
625.000,625.407,+0.407,624.593,9.983
630.000,630.545,+0.545,629.455,10.294
635.000,635.474,+0.474,634.526,10.273
640.000,640.295,+0.295,639.705,9.922
645.000,644.901,-0.099,645.099,10.562
650.000,649.982,-0.018,650.018,10.869
655.000,655.056,+0.056,654.944,11.174
660.000,659.872,-0.128,660.128,10.823
665.000,664.749,-0.251,665.251,11.454
670.000,669.517,-0.483,670.483,11.758
675.000,674.745,-0.255,675.255,12.382
680.000,679.773,-0.227,680.227,12.030
685.000,684.627,-0.373,685.373,12.653
690.000,689.322,-0.678,690.678,12.950
695.000,694.347,-0.653,695.653,13.891
700.000,699.636,-0.364,700.364,14.823
705.000,704.610,-0.390,705.390,14.469
710.000,709.293,-0.707,710.707,14.759
715.000,713.897,-1.103,716.103,15.687
720.000,718.705,-1.295,721.295,16.930
